DATE,PEAAUS00000A647NCEN
1989-01-01,31528020
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,39264811
1994-01-01,.
1995-01-01,36424609
1996-01-01,36529140
1997-01-01,35573858
1998-01-01,34475762
1999-01-01,32791272
2000-01-01,31581086
2001-01-01,32906511
2002-01-01,34569951
2003-01-01,35861170
2004-01-01,37039804
2005-01-01,38231474
2006-01-01,38757253
2007-01-01,38052247
2008-01-01,39108422
2009-01-01,42868163
2010-01-01,46215956
2011-01-01,48452035
2012-01-01,48760123
2013-01-01,48810868
2014-01-01,48208387
2015-01-01,46153077
2016-01-01,44268996
2017-01-01,42583651
